iter	Logloss
0	0.6600671935
1	0.6377263094
2	0.6230636183
3	0.6086850398
4	0.5984833462
5	0.5913998617
6	0.5859766761
7	0.5805821917
8	0.5773984657
9	0.574177481
10	0.5719664618
11	0.5699488674
12	0.5686475311
13	0.5674717803
14	0.5657276001
15	0.564383071
16	0.5634500476
17	0.5626239676
18	0.5615621663
19	0.5602851924
20	0.559393463
21	0.5585679393
22	0.5580606203
23	0.5572064588
24	0.5566411278
25	0.5562413253
26	0.5556116018
27	0.5547588365
28	0.5541992101
29	0.553981264
30	0.5536610507
31	0.5533783737
32	0.5531436602
33	0.5528738454
34	0.5526559723
35	0.5523858686
36	0.5521566672
37	0.551979133
38	0.5514843194
39	0.5509432921
40	0.5505861145
41	0.5502940112
42	0.5499826711
43	0.5497933755
44	0.5494029626
45	0.5491031686
46	0.5487430407
47	0.5485149025
48	0.5483325326
49	0.5480236941
50	0.5478889109
51	0.54764791
52	0.5474755362
53	0.5472967777
54	0.547110823
55	0.5467693998
56	0.5466603674
57	0.5464273942
58	0.5462463432
59	0.546092271
60	0.5459356212
61	0.5457334393
62	0.5455684986
63	0.5454715546
64	0.5452909899
65	0.545182228
66	0.5450844942
67	0.5449892242
68	0.5448182496
69	0.5445706304
70	0.5444768153
71	0.5443056438
72	0.5441525247
73	0.5439883971
74	0.5437992011
75	0.5437057867
76	0.5435962952
77	0.5435082555
78	0.5433564725
79	0.5430661541
80	0.5428949189
81	0.5427469977
82	0.5426338088
83	0.5425351431
84	0.5424478796
85	0.5423214207
86	0.5422202043
87	0.5420623073
88	0.5419400409
89	0.5416900585
90	0.5415789182
91	0.5414558249
92	0.5413621103
93	0.5412858135
94	0.5412216798
95	0.5410687593
96	0.540975083
97	0.540862025
98	0.5406466006
99	0.5405067169
100	0.5403007574
101	0.5401322519
102	0.5399730294
103	0.5398697685
104	0.5397529135
105	0.5396279016
106	0.5395534297
107	0.5394456359
108	0.5393266335
109	0.5392371272
110	0.5391328576
111	0.5390602283
112	0.5389905744
113	0.5389067923
114	0.5388423771
115	0.5387225473
116	0.5386293595
117	0.5385390573
118	0.538488882
119	0.5384153271
120	0.5383187244
121	0.5382292975
122	0.5381650202
123	0.5380859102
124	0.5380106816
125	0.5379505537
126	0.5378679831
127	0.5377971649
128	0.5377388226
129	0.5376528126
130	0.5375654711
131	0.5374949184
132	0.5374115248
133	0.5373490529
134	0.5372811842
135	0.5372204441
136	0.5371448947
137	0.5370853594
138	0.537006347
139	0.5369111615
140	0.536779299
141	0.5367094624
142	0.5366512254
143	0.5366226488
144	0.5365369516
145	0.5364599788
146	0.5363939988
147	0.5362969561
148	0.5362478499
149	0.5362158861
150	0.5361582645
151	0.5361011457
152	0.5360201828
153	0.5359720703
154	0.5359227051
155	0.5358813551
156	0.5358063498
157	0.5357471941
158	0.5356889181
159	0.5356168223
160	0.5355618613
161	0.5354924736
162	0.5354217821
163	0.5353826082
164	0.5353385883
165	0.5352988913
166	0.5352370516
167	0.535198071
168	0.535144606
169	0.5350998211
170	0.5350628915
171	0.5349972649
172	0.5349705954
173	0.5349090474
174	0.5348468229
175	0.5348160719
176	0.5347705893
177	0.5347061886
178	0.5346201855
179	0.5345645871
180	0.5345162847
181	0.5344620147
182	0.5344313675
183	0.5343842133
184	0.5343317465
185	0.5342731787
186	0.5342136526
187	0.5341790285
188	0.5341125601
189	0.5340576398
190	0.5339912079
191	0.5339406617
192	0.5339069716
193	0.5338468289
194	0.5338048885
195	0.5337562429
196	0.5336805743
197	0.5336370761
198	0.533583509
199	0.5335140124
200	0.5334551933
201	0.5334267602
202	0.5333588524
203	0.5333155084
204	0.5332682625
205	0.5332469705
206	0.5332080944
207	0.5331363743
208	0.533096015
209	0.533037684
210	0.5329827177
211	0.5329224348
212	0.532866966
213	0.5328105246
214	0.5327671752
215	0.5327265222
216	0.5326690446
217	0.5326155274
218	0.5325701233
219	0.5325461946
220	0.5325225767
221	0.5324839648
222	0.5324264816
223	0.5324170608
224	0.5323664511
225	0.5323424713
226	0.5323046519
227	0.5322522725
228	0.5322183436
229	0.5321876754
230	0.5321383376
231	0.5320949011
232	0.5320484087
233	0.5319855466
234	0.5319191362
235	0.5318815958
236	0.5318280993
237	0.5317859534
238	0.5317287544
239	0.5316819481
240	0.5316368454
241	0.5315880832
242	0.5315377153
243	0.5314932642
244	0.5314522622
245	0.5314112129
246	0.5313402391
247	0.5313006807
248	0.5312481869
249	0.5312012831
250	0.5311628836
251	0.5311026183
252	0.5310554721
253	0.5310100154
254	0.5309801503
255	0.5309278488
256	0.5308832746
257	0.5308300863
258	0.530799025
259	0.5307597666
260	0.5306995068
261	0.5306808883
262	0.5306558766
263	0.5306281814
264	0.5306058309
265	0.5305765859
266	0.5305363956
267	0.5305003661
268	0.5304650723
269	0.5304293105
270	0.5303792141
271	0.5303503945
272	0.5302896798
273	0.530253408
274	0.5302152563
275	0.53017018
276	0.5301379926
277	0.5301041411
278	0.5300410816
279	0.5299988586
280	0.5299690662
281	0.5299221408
282	0.5298892319
283	0.5298397135
284	0.5298095065
285	0.529767209
286	0.5297431018
287	0.5297066677
288	0.5296461751
289	0.5296262807
290	0.5295942906
291	0.5295740115
292	0.5295359258
293	0.5294987746
294	0.5294690027
295	0.5294438479
296	0.5293911964
297	0.529348963
298	0.5293296554
299	0.5292667835
