iter	Passed	Remaining
0	969	435490
1	1909	427752
2	2841	423367
3	3772	420686
4	4734	421402
5	5668	419483
6	6633	419781
7	7571	418352
8	8527	417831
9	9484	417323
10	10447	416938
11	11362	414734
12	12294	413269
13	13232	412108
14	14172	410994
15	15111	409903
16	16038	408519
17	16938	406520
18	17837	404633
19	18782	403819
20	19732	403097
21	20627	401294
22	21557	400211
23	22545	400177
24	23476	399095
25	24441	398578
26	25389	397771
27	26320	396683
28	27224	395218
29	28186	394614
30	29129	393713
31	30078	392898
32	31032	392135
33	31966	391114
34	32909	390216
35	33840	389163
36	34786	388291
37	35716	387244
38	36642	386157
39	37602	385429
40	38546	384520
41	39507	383790
42	40455	382918
43	41399	382006
44	42375	381378
45	43322	380482
46	44210	379078
47	45153	378164
48	46101	377280
49	47070	376560
50	47999	375529
51	48955	374695
52	49889	373697
53	50840	372826
54	51808	372076
55	52751	371144
56	53717	370365
57	54667	369478
58	55629	368663
59	56611	367976
60	57549	366993
61	58485	366007
62	59400	364891
63	60343	363946
64	61246	362768
65	62182	361788
66	63122	360832
67	64107	360132
68	65039	359129
69	65982	358189
70	66906	357148
71	67842	356174
72	68764	355125
73	69724	354276
74	70646	353232
75	71569	352196
76	72493	351171
77	73430	350208
78	74346	349144
79	75278	348160
80	76266	347436
81	77188	346405
82	78139	345506
83	79091	344611
84	80052	343753
85	81011	342884
86	81942	341898
87	82854	340834
88	83840	340071
89	84777	339111
90	85761	338334
91	86700	337378
92	87622	336355
93	88564	335415
94	89492	334418
95	90485	333664
96	91441	332771
97	92377	331803
98	93314	330841
99	94234	329819
100	95163	328832
101	96097	327863
102	97042	326929
103	97982	325979
104	98928	325051
105	99869	324105
106	100813	323169
107	101781	322307
108	102706	321310
109	103656	320394
110	104606	319473
111	105567	318586
112	106535	317721
113	107449	316691
114	108380	315716
115	109319	314765
116	110300	313933
117	111242	312987
118	112184	312042
119	113113	311061
120	114022	310029
121	114929	308990
122	115804	307871
123	116719	306859
124	117602	305766
125	118428	304529
126	119288	303386
127	120177	302320
128	121049	301216
129	121896	300052
130	122782	298989
131	123655	297896
132	124531	296815
133	125461	295865
134	126342	294798
135	127177	293629
136	128045	292541
137	128827	291262
138	129709	290212
139	130597	289180
140	131471	288117
141	132375	287124
142	133239	286045
143	134052	284862
144	134905	283765
145	135779	282719
146	136659	281686
147	137554	280685
148	138473	279734
149	139377	278755
150	140237	277689
151	141142	276713
152	141997	275641
153	142860	274589
154	143715	273522
155	144546	272414
156	145423	271394
157	146350	270471
158	147266	269524
159	148145	268513
160	149011	267480
161	149879	266453
162	150737	265408
163	151647	264458
164	152495	263401
165	153383	262414
166	154217	261339
167	155085	260322
168	155952	259304
169	156836	258319
170	157682	257271
171	158558	256274
172	159386	255203
173	160223	254147
174	161120	253189
175	161954	252133
176	162807	251109
177	163659	250085
178	164560	249139
179	165415	248123
180	166280	247124
181	167251	246282
182	168056	245196
183	168917	244196
184	169814	243247
185	170651	242215
186	171560	241284
187	172494	240391
188	173443	239516
189	174374	238617
190	175389	237832
191	176307	236912
192	177261	236042
193	178126	235052
194	178988	234061
195	179873	233101
196	180768	232154
197	181690	231242
198	182619	230339
199	183538	229423
200	184457	228507
201	185359	227569
202	186210	226571
203	187121	225647
204	188009	224694
205	188885	223729
206	189836	222851
207	190722	221897
208	191627	220968
209	192520	220022
210	193431	219100
211	194310	218141
212	195241	217240
213	196159	216325
214	197089	215423
215	198103	214612
216	199061	213739
217	199952	212793
218	200825	211829
219	201738	210908
220	202616	209951
221	203572	209074
222	204504	208172
223	205425	207259
224	206298	206298
225	207196	205363
226	208100	204433
227	209012	203511
228	209906	202573
229	210778	201613
230	211715	200717
231	212613	199783
232	213496	198835
233	214410	197917
234	215301	196978
235	216242	196084
236	217131	195143
237	218055	194234
238	218934	193285
239	219841	192361
240	220761	191448
241	221684	190538
242	222575	189601
243	223498	188691
244	224391	187755
245	225301	186835
246	226202	185907
247	227178	185040
248	228082	184114
249	228968	183174
250	229869	182247
251	230760	181312
252	231695	180411
253	232618	179500
254	233583	178622
255	234503	177710
256	235406	176783
257	236332	175875
258	237246	174957
259	238174	174050
260	239026	173088
261	239922	172158
262	240863	171260
263	241790	170352
264	242703	169434
265	243610	168512
266	244509	167585
267	245448	166685
268	246357	165764
269	247265	164843
270	248211	163948
271	249094	163010
272	250012	162096
273	250915	161172
274	251825	160252
275	252738	159335
276	253652	158418
277	254548	157490
278	255431	156554
279	256350	155641
280	257268	154727
281	258211	153828
282	259088	152889
283	259997	151970
284	260912	151054
285	261867	150161
286	262793	149251
287	263683	148321
288	264612	147413
289	265532	146500
290	266419	145569
291	267322	144646
292	268249	143737
293	269151	142815
294	270038	141884
295	270941	140963
296	271841	140039
297	272779	139135
298	273673	138209
299	274563	137281
300	275527	136390
301	276444	135475
302	277370	134566
303	278297	133656
304	279168	132719
305	280068	131796
306	280948	130865
307	281866	129951
308	282827	129057
309	283759	128149
310	284666	127230
311	285560	126305
312	286439	125374
313	287365	124464
314	288293	123554
315	289207	122638
316	290104	121715
317	291033	120806
318	291945	119889
319	292870	118978
320	293768	118056
321	294671	117136
322	295568	116214
323	296457	115288
324	297390	114380
325	298305	113466
326	299234	112555
327	300157	111644
328	301069	110727
329	301994	109816
330	302941	108912
331	303862	107999
332	304804	107093
333	305716	106177
334	306601	105251
335	307510	104333
336	308331	103387
337	309218	102463
338	310077	101529
339	311002	100618
340	311842	99679
341	312720	98753
342	313591	97825
343	314438	96890
344	315302	95961
345	316177	95036
346	317034	94105
347	317871	93169
348	318787	92256
349	319635	91324
350	320535	90407
351	321401	89481
352	322266	88554
353	323159	87636
354	324089	86728
355	325006	85816
356	325912	84901
357	326852	83995
358	327761	83081
359	328667	82166
360	329602	81259
361	330507	80344
362	331427	79433
363	332346	78521
364	333281	77613
365	334185	76698
366	335121	75790
367	336026	74875
368	336948	73964
369	337872	73053
370	338791	72141
371	339741	71236
372	340625	70316
373	341547	69405
374	342448	68489
375	343376	67579
376	344324	66672
377	345250	65761
378	346150	64846
379	347066	63933
380	347975	63019
381	348882	62104
382	349795	61191
383	350718	60279
384	351666	59372
385	352548	58453
386	353470	57541
387	354378	56627
388	355309	55716
389	356203	54800
390	357123	53888
391	358070	52979
392	358969	52064
393	359893	51152
394	360783	50235
395	361683	49320
396	362588	48406
397	363504	47493
398	364444	46583
399	365385	45673
400	366291	44758
401	367213	43846
402	368131	42933
403	369056	42021
404	369985	41109
405	370932	40199
406	371843	39285
407	372748	38371
408	373659	37457
409	374565	36542
410	375460	35627
411	376369	34713
412	377252	33797
413	378215	32888
414	379122	31974
415	380042	31061
416	380926	30145
417	381839	29231
418	382730	28316
419	383649	27403
420	384610	26493
421	385511	25578
422	386404	24664
423	387304	23749
424	388178	22834
425	389067	21919
426	389996	21006
427	390869	20091
428	391800	19179
429	392717	18265
430	393597	17351
431	394492	16437
432	395407	15524
433	396313	14610
434	397221	13697
435	398127	12783
436	399039	11870
437	399992	10958
438	400873	10044
439	401771	9131
440	402669	8217
441	403588	7304
442	404498	6391
443	405407	5478
444	406330	4565
445	407250	3652
446	408193	2739
447	409130	1826
448	410031	913
449	410979	0
