"age";"sexe";"catu";"dep";"region";"agg";"vma";"atm";"est_nuit";"est_heure_pointe";"jour_semaine";"est_weekend";"a_equipement_adapte";"grav_ordered";"grav_binary";"catv"
"27,0";"1";"1";"91";"nord";"2";"50";"2";"1";"0";"4";"0";"0";"3";"1";"50"
"45,0";"1";"1";"80";"nord";"2";"50";"2";"0";"1";"2";"0";"0";"1";"0";"50"
"61,0";"1";"1";"67";"nord";"2";"50";"2";"0";"0";"4";"0";"1";"1";"0";"1"
"53,0";"2";"1";"66";"sud";"2";"30";"1";"0";"0";"4";"0";"0";"1";"0";"1"
"46,0";"2";"1";"49";"nord";"2";"60";"1";"0";"1";"3";"0";"1";"1";"0";"1"
"15,0";"1";"1";"45";"nord";"2";"50";"1";"0";"1";"4";"0";"0";"1";"0";"1"
"33,0";"2";"1";"33";"centre";"2";"50";"2";"0";"1";"4";"0";"0";"1";"0";"1"
"23,0";"2";"1";"33";"centre";"2";"50";"1";"0";"0";"2";"0";"0";"1";"0";"1"
"53,0";"2";"1";"33";"centre";"2";"50";"8";"0";"1";"3";"0";"0";"1";"0";"80"
"18,0";"2";"1";"33";"centre";"2";"50";"2";"0";"1";"2";"0";"0";"1";"0";"1"
"17,0";"1";"1";"33";"centre";"2";"50";"2";"0";"0";"2";"0";"0";"1";"0";"1"
"53,0";"1";"1";"71";"centre";"2";"50";"1";"0";"1";"3";"0";"1";"1";"0";"1"
"17,0";"1";"1";"974";"dom_tom";"2";"50";"1";"0";"0";"4";"0";"0";"1";"0";"1"
"17,0";"1";"2";"974";"dom_tom";"2";"50";"1";"0";"0";"4";"0";"0";"1";"0";"1"
"16,0";"1";"2";"69";"centre";"2";"50";"1";"0";"0";"2";"0";"0";"2";"1";"60"
"14,0";"2";"1";"67";"nord";"2";"50";"1";"0";"1";"3";"0";"0";"1";"0";"1"
"58,0";"1";"1";"67";"nord";"2";"50";"1";"0";"0";"3";"0";"0";"0";"0";"1"
"32,0";"1";"1";"60";"nord";"2";"50";"1";"0";"1";"6";"1";"1";"1";"0";"1"
"66,0";"1";"1";"28";"nord";"1";"80";"1";"0";"0";"5";"1";"1";"2";"1";"1"
"26,0";"1";"1";"28";"nord";"1";"80";"1";"0";"0";"5";"1";"1";"0";"0";"1"
"76,0";"1";"1";"28";"nord";"1";"80";"1";"0";"0";"0";"0";"0";"3";"1";"1"
"62,0";"1";"1";"68";"nord";"1";"80";"1";"0";"0";"3";"0";"0";"1";"0";"1"
"25,0";"1";"1";"76";"nord";"1";"70";"1";"0";"0";"6";"1";"0";"1";"0";"1"
"67,0";"1";"1";"77";"nord";"2";"50";"1";"0";"1";"5";"1";"1";"2";"1";"1"
"12,0";"1";"1";"77";"nord";"2";"50";"7";"0";"0";"4";"0";"0";"2";"1";"1"
"55,0";"1";"1";"78";"nord";"1";"80";"1";"0";"0";"5";"1";"1";"2";"1";"1"
"39,0";"1";"1";"17";"centre";"2";"50";"1";"0";"1";"4";"0";"0";"2";"1";"1"
"34,0";"1";"1";"64";"sud";"1";"70";"2";"0";"0";"2";"0";"0";"2";"1";"1"
"18,0";"1";"1";"33";"centre";"2";"50";"1";"0";"0";"4";"0";"1";"2";"1";"1"
"52,0";"1";"1";"72";"nord";"2";"50";"1";"0";"0";"5";"1";"0";"1";"0";"1"
"62,0";"1";"1";"49";"nord";"2";"30";"2";"0";"1";"6";"1";"1";"1";"0";"1"
"12,0";"1";"1";"27";"nord";"2";"50";"8";"0";"0";"2";"0";"0";"2";"1";"1"
"21,0";"1";"1";"62";"nord";"2";"50";"1";"0";"0";"6";"1";"1";"1";"0";"1"
"37,0";"1";"1";"67";"nord";"2";"50";"1";"0";"0";"1";"0";"0";"1";"0";"1"
"61,0";"1";"1";"67";"nord";"2";"50";"1";"0";"1";"0";"0";"0";"2";"1";"1"
"15,0";"1";"1";"64";"sud";"2";"15";"1";"0";"0";"4";"0";"0";"0";"0";"1"
"25,0";"1";"1";"60";"nord";"2";"50";"1";"0";"1";"2";"0";"0";"1";"0";"50"
"13,0";"1";"1";"60";"nord";"1";"50";"1";"1";"0";"4";"0";"0";"2";"1";"1"
"47,0";"1";"1";"59";"nord";"2";"30";"1";"0";"1";"4";"0";"0";"1";"0";"50"
"20,0";"1";"1";"58";"centre";"2";"30";"1";"0";"1";"5";"1";"0";"0";"0";"1"
"25,0";"1";"1";"56";"nord";"2";"30";"2";"0";"1";"2";"0";"1";"2";"1";"1"
"54,0";"2";"1";"51";"nord";"2";"50";"1";"0";"0";"4";"0";"0";"1";"0";"1"
"19,0";"2";"1";"49";"nord";"2";"30";"1";"0";"0";"1";"0";"1";"1";"0";"1"
"11,0";"2";"1";"47";"centre";"2";"50";"1";"0";"0";"2";"0";"0";"1";"0";"1"
"16,0";"1";"1";"44";"nord";"2";"50";"1";"0";"0";"3";"0";"0";"0";"0";"1"
"64,0";"2";"1";"44";"nord";"2";"50";"1";"0";"0";"3";"0";"0";"1";"0";"1"
"34,0";"2";"1";"35";"nord";"2";"50";"3";"1";"0";"5";"1";"0";"1";"0";"1"
"19,0";"2";"1";"35";"nord";"2";"30";"1";"0";"1";"4";"0";"0";"1";"0";"1"
"22,0";"1";"1";"35";"nord";"2";"50";"1";"0";"1";"1";"0";"1";"0";"0";"1"
"31,0";"1";"1";"93";"nord";"2";"50";"1";"0";"1";"4";"0";"0";"1";"0";"1"
"54,0";"2";"1";"93";"nord";"2";"50";"1";"0";"0";"3";"0";"0";"1";"0";"1"
"16,0";"1";"1";"93";"nord";"2";"50";"1";"0";"0";"2";"0";"0";"1";"0";"1"
"58,0";"1";"1";"93";"nord";"2";"50";"1";"0";"0";"1";"0";"1";"1";"0";"1"
"47,0";"2";"1";"13";"sud";"2";"50";"1";"0";"1";"3";"0";"1";"1";"0";"1"
"30,0";"2";"1";"75";"nord";"2";"50";"1";"0";"1";"3";"0";"1";"1";"0";"1"
"23,0";"1";"1";"75";"nord";"2";"50";"1";"0";"0";"3";"0";"1";"0";"0";"1"
"20,0";"2";"1";"75";"nord";"2";"50";"1";"0";"0";"3";"0";"1";"1";"0";"1"
"20,0";"1";"1";"93";"nord";"2";"50";"1";"0";"0";"3";"0";"0";"1";"0";"1"
"21,0";"1";"2";"93";"nord";"2";"5";"1";"0";"1";"0";"0";"0";"0";"0";"50"
"21,0";"1";"1";"93";"nord";"2";"5";"1";"0";"1";"0";"0";"0";"0";"0";"50"
"34,0";"2";"1";"92";"nord";"2";"50";"2";"0";"1";"2";"0";"0";"1";"0";"80"
"26,0";"2";"1";"92";"nord";"2";"50";"1";"0";"1";"3";"0";"0";"1";"0";"1"
"41,0";"1";"1";"92";"nord";"2";"50";"1";"1";"0";"6";"1";"0";"1";"0";"60"
"28,0";"2";"1";"92";"nord";"2";"50";"1";"0";"0";"3";"0";"0";"1";"0";"60"
"37,0";"1";"1";"38";"centre";"2";"50";"1";"0";"0";"4";"0";"0";"2";"1";"80"
"60,0";"1";"1";"3";"centre";"2";"50";"1";"0";"0";"3";"0";"0";"2";"1";"1"
"14,0";"1";"1";"1";"centre";"1";"80";"1";"0";"0";"4";"0";"1";"2";"1";"1"
"70,0";"1";"1";"4";"sud";"1";"80";"1";"0";"1";"4";"0";"1";"1";"0";"1"
"41,0";"1";"1";"75";"nord";"2";"30";"1";"0";"0";"4";"0";"1";"0";"0";"1"
"25,0";"2";"1";"94";"nord";"2";"50";"1";"0";"1";"4";"0";"1";"1";"0";"50"
"57,0";"1";"1";"94";"nord";"2";"50";"1";"0";"0";"4";"0";"1";"1";"0";"1"
"31,0";"1";"1";"92";"nord";"2";"50";"8";"0";"0";"4";"0";"0";"1";"0";"1"
"79,0";"1";"1";"51";"nord";"2";"50";"1";"0";"1";"5";"1";"0";"3";"1";"1"
"71,0";"1";"1";"47";"centre";"1";"80";"7";"0";"0";"4";"0";"1";"3";"1";"1"
"76,0";"1";"1";"33";"centre";"2";"50";"1";"0";"0";"4";"0";"0";"2";"1";"1"
"63,0";"2";"1";"67";"nord";"2";"50";"1";"0";"0";"2";"0";"0";"1";"0";"1"
"28,0";"1";"1";"75";"nord";"2";"50";"8";"0";"0";"1";"0";"1";"3";"1";"80"
"22,0";"1";"1";"75";"nord";"2";"50";"1";"0";"0";"3";"0";"1";"1";"0";"80"
"23,0";"1";"1";"75";"nord";"2";"50";"1";"0";"0";"2";"0";"1";"1";"0";"1"
"32,0";"2";"1";"75";"nord";"2";"50";"1";"0";"1";"3";"0";"1";"1";"0";"1"
"22,0";"2";"1";"75";"nord";"2";"50";"8";"0";"0";"2";"0";"1";"1";"0";"50"
"48,0";"1";"1";"94";"nord";"2";"50";"1";"0";"0";"3";"0";"0";"1";"0";"1"
"60,0";"1";"1";"93";"nord";"2";"50";"2";"0";"1";"3";"0";"1";"0";"0";"1"
"72,0";"2";"1";"92";"nord";"2";"50";"1";"0";"0";"3";"0";"0";"1";"0";"1"
"44,0";"1";"1";"51";"nord";"2";"50";"1";"0";"0";"2";"0";"1";"2";"1";"1"
"24,0";"2";"1";"61";"nord";"1";"80";"8";"0";"0";"3";"0";"0";"2";"1";"80"
"70,0";"1";"1";"29";"nord";"1";"50";"1";"0";"1";"1";"0";"1";"1";"0";"1"
"13,0";"1";"1";"88";"nord";"1";"80";"2";"0";"1";"3";"0";"0";"2";"1";"1"
"15,0";"1";"1";"63";"centre";"2";"50";"1";"0";"0";"6";"1";"0";"2";"1";"1"
"45,0";"1";"1";"59";"nord";"2";"50";"1";"1";"0";"4";"0";"0";"1";"0";"1"
"56,0";"1";"1";"56";"nord";"2";"30";"1";"0";"1";"3";"0";"1";"1";"0";"1"
"31,0";"1";"1";"41";"nord";"2";"50";"1";"0";"1";"2";"0";"0";"1";"0";"1"
"50,0";"2";"1";"33";"centre";"2";"50";"1";"0";"0";"4";"0";"0";"1";"0";"1"
"21,0";"1";"1";"33";"centre";"2";"50";"1";"0";"0";"4";"0";"0";"1";"0";"1"
"54,0";"2";"1";"31";"sud";"2";"50";"1";"0";"0";"3";"0";"1";"2";"1";"1"
"76,0";"1";"1";"22";"nord";"2";"50";"1";"0";"0";"6";"1";"1";"1";"0";"1"
"11,0";"1";"1";"22";"nord";"2";"50";"1";"0";"0";"6";"1";"1";"0";"0";"1"
